,Unnamed: 0,time,accX,accY,accZ,gyrX,gyrY,gyrZ,y,x
0,0,0.0,-0.04,0.0,9.8,0.0,-0.0021816615649929,0.0,0.0009654353275894736,0.0
1,1,0.021345138549804688,0.02,-0.1,9.7,0.0,0.0,0.0,0.00043995440044311334,0.0
2,2,0.041532039642333984,0.2,-0.14,9.65,0.0250891079974184,-0.0109083078249645,-0.0043633231299858,-0.00043993972385563014,0.0
5,5,0.10113334655761719,-0.92,-0.61,9.94,0.0010908307824964,0.0556323699073192,0.0272707695624114,-0.004915258593419041,0.0
6,6,0.11940789222717285,0.29,-0.52,9.42,-0.0610865238198015,0.0163624617374468,0.035997415822383,-0.006772324813359876,0.0
7,7,0.1397557258605957,0.8200000000000001,-0.76,9.88,-0.0032724923474893,-0.0054541539124822,0.1036289243371633,-0.009069587071029932,0.0
8,8,0.15690135955810547,-0.36,-0.44,10.31,0.0272707695624114,-0.0010908307824964,0.1254455399870924,-0.011177121140283595,0.0
9,9,0.17840838432312012,0.15,-0.71,10.12,-0.011999138607461,0.023998277214922,0.1319905246820711,-0.014022666690426955,0.0
10,10,0.19832134246826172,0.42,-0.73,9.29,-0.0272707695624114,-0.0043633231299858,0.1374446785945534,-0.01683917117514838,0.0
11,11,0.21801996231079102,-0.32,-0.54,10.05,0.0218166156499291,-0.0436332312998582,0.1581704634619861,-0.01978055649442769,0.0
12,12,0.23924469947814941,0.24,-0.26,9.93,-0.0043633231299858,-0.0370882466048795,0.1974403716318585,-0.02310541301050218,0.0
13,13,0.2563912868499756,-0.18,-0.55,9.73,-0.0545415391248228,-0.0272707695624114,0.1559888018969932,-0.02589785042036798,0.0
14,14,0.27803993225097656,-0.12,-0.28,9.94,0.011999138607461,-0.0567232006898157,0.136353847812057,-0.029545484427617428,0.0
15,15,0.297940731048584,0.3,-0.43,9.55,-0.0130899693899574,0.0098174770424681,0.1548979711144967,-0.03300653680584149,0.0
16,16,0.3175334930419922,0.54,-0.3,10.16,-0.0043633231299858,-0.0054541539124822,0.1952587100668656,-0.03650412733091017,0.0
17,17,0.33896946907043457,0.04,-0.41,9.0,-0.0338157542573901,-0.0469057236473476,0.1559888018969932,-0.040421993083482245,0.0
18,18,0.35605955123901367,-0.18,0.24,10.24,0.0338157542573901,0.0021816615649929,0.1123555705971349,-0.04360659107983663,0.0
19,19,0.37781333923339844,0.23,-0.31,10.32,0.074176493209759,0.0163624617374468,0.0970839396421845,-0.047729807520001714,0.0
20,20,0.39763331413269043,0.19,-0.4,9.88,0.0403607389523688,0.0,0.1058105859021562,-0.05154684186855296,0.0
21,21,0.4171462059020996,-0.09,0.46,9.83,0.0632681853847944,-0.0818123086872342,0.08617563181722,-0.05535440769708541,0.0
22,22,0.4388706684112549,-0.11,-0.14,10.11,0.0698131700797731,-0.0894481241647093,0.0490873852123405,-0.05964469389174885,0.0
23,23,0.4554734230041504,-0.05,-0.5,9.73,0.0250891079974184,-0.0905389549472058,0.0218166156499291,-0.06295577223461371,0.0
24,24,0.47806334495544434,-0.66,-0.14,9.29,-0.0250891079974184,-0.0698131700797731,0.0098174770424681,-0.06750044604918556,0.0
25,25,0.4991912841796875,-0.34,-0.09,9.65,0.011999138607461,0.0163624617374468,-0.0403607389523688,-0.07178747417134224,0.0
26,26,0.5184125900268555,0.1,-0.49,9.78,-0.0349065850398865,0.0250891079974184,-0.0578140314723121,-0.07571456891441769,-0.00038322285045491733
27,27,0.5395317077636719,0.44,0.17,9.86,0.0152716309549503,-0.0894481241647093,-0.0654498469497873,-0.08005558327172474,0.0007338928383430268
28,28,0.5567023754119873,0.02,-0.09,9.8,-0.0414515697348653,-0.0959931088596881,-0.074176493209759,-0.08360307561452467,0.001626841942419445
29,29,0.5783381462097168,-0.46,-0.53,9.32,-0.0010908307824964,-0.1014472627721704,-0.047996554429844,-0.08809374307890189,0.002732672199369124
30,30,0.5982120037078857,-0.65,-0.05,10.43,0.0327249234748936,-0.0949022780771916,-0.1003564319896739,-0.09223707799632244,0.0037296814376332754
31,31,0.6183493137359619,-0.33,-0.03,9.77,-0.0076358154774751,0.0218166156499291,-0.136353847812057,-0.09645161527069752,0.00472180199598133
32,32,0.6395721435546875,0.67,-0.46,9.95,0.0447240620823546,0.0032724923474893,-0.1548979711144967,-0.10090962838697347,0.005747922135594871
33,33,0.6567237377166748,-0.3,-0.36,10.15,0.0109083078249645,0.059995693037305,-0.2050761871093337,-0.10452383953424456,0.006562765041183742
34,34,0.6785261631011963,0.06,0.05,10.13,0.0152716309549503,0.0469057236473476,-0.196349540849362,-0.10913195166313856,0.00758016738465158
35,35,0.6984467506408691,0.16,0.4,9.68,-0.0218166156499291,0.0458148928648511,-0.2236203104117734,-0.11335532643296464,0.008491975050147593
36,36,0.7172541618347168,0.27,-0.01,9.68,0.0294524311274043,0.0578140314723121,-0.2247111411942699,-0.11735375072546025,0.009337448669207764
37,37,0.7397942543029785,-0.27,0.17,9.99,0.0130899693899574,0.0534507083423263,-0.1996220331968514,-0.12215965036814833,0.01033129920121375
38,38,0.7568354606628418,0.11,0.14,10.32,0.0163624617374468,0.0283616003449078,-0.2367102798017309,-0.12580313128818782,0.011068810430941906
